	 0.450	 -0.576	 0.712	 35.413	 21.846	 5.436
	 0.411	 -0.606	 0.686	 33.999	 19.232	 3.143
	 0.367	 -0.634	 0.664	 31.733	 16.139	 1.196
	 0.331	 -0.660	 0.649	 28.986	 12.806	 -0.431
	 0.304	 -0.686	 0.645	 26.239	 9.472	 -1.337
	 0.278	 -0.701	 0.638	 23.519	 6.432	 -2.271
	 0.248	 -0.706	 0.630	 19.973	 4.006	 -1.951
	 0.234	 -0.710	 0.630	 15.413	 2.326	 -2.217
	 0.227	 -0.714	 0.628	 10.933	 1.312	 -3.284
	 0.230	 -0.720	 0.629	 7.413	 0.912	 -2.324
	 0.230	 -0.725	 0.627	 5.066	 0.432	 -1.231
	 0.233	 -0.728	 0.627	 3.973	 0.219	 -0.751
	 0.229	 -0.730	 0.627	 3.413	 0.352	 -1.097
	 0.228	 -0.729	 0.626	 3.146	 0.059	 -2.084
	 0.220	 -0.724	 0.628	 2.426	 -0.368	 -3.684
	 0.218	 -0.725	 0.626	 -0.241	 0.459	 -3.577
	 0.226	 -0.731	 0.627	 -1.734	 0.726	 -3.631
	 0.229	 -0.731	 0.631	 -3.121	 0.352	 -4.324
	 0.238	 -0.733	 0.635	 -5.174	 0.059	 -4.911
	 0.245	 -0.728	 0.632	 -7.041	 -0.048	 -5.844
	 0.252	 -0.725	 0.632	 -9.201	 0.406	 -5.177
	 0.263	 -0.725	 0.635	 -11.121	 0.939	 -5.417
1	 0.317	 0.248	 1.160	 4.773	 -4.421	 -8.991
	 0.307	 0.251	 1.162	 4.533	 -3.141	 -9.817
	 0.296	 0.251	 1.162	 4.266	 -1.861	 -10.244
	 0.286	 0.251	 1.163	 3.866	 -0.714	 -10.351
	 0.279	 0.246	 1.163	 3.359	 0.619	 -9.737
	 0.269	 0.239	 1.161	 2.853	 1.526	 -9.364
	 0.256	 0.232	 1.165	 2.293	 2.779	 -9.711
	 0.245	 0.226	 1.170	 1.919	 4.219	 -9.524
	 0.235	 0.217	 1.174	 1.759	 5.579	 -9.097
	 0.230	 0.206	 1.176	 1.013	 7.579	 -6.777
	 0.229	 0.193	 1.179	 0.346	 9.739	 -4.217
	 0.230	 0.176	 1.179	 -0.187	 11.579	 -1.657
	 0.233	 0.158	 1.180	 -0.667	 13.419	 0.369
	 0.238	 0.142	 1.180	 -1.041	 14.992	 2.183
	 0.244	 0.120	 1.179	 -1.627	 15.606	 3.943
	 0.252	 0.103	 1.174	 -1.921	 15.659	 5.276
	 0.265	 0.084	 1.169	 -2.054	 15.926	 7.249
	 0.276	 0.066	 1.165	 -2.134	 16.246	 9.143
	 0.292	 0.046	 1.159	 -2.241	 17.446	 12.049
	 0.310	 0.029	 1.154	 -2.054	 18.459	 14.796
	 0.333	 0.010	 1.144	 -1.707	 19.472	 17.969
	 0.360	 -0.007	 1.132	 -1.334	 20.112	 21.383
	 0.386	 -0.025	 1.121	 -0.934	 20.752	 24.769
	 0.417	 -0.047	 1.104	 0.106	 21.526	 27.249
	 0.454	 -0.069	 1.089	 2.346	 22.299	 27.783
	 0.492	 -0.092	 1.071	 5.253	 23.419	 27.649
	 0.521	 -0.114	 1.048	 8.506	 25.099	 27.196
	 0.539	 -0.142	 1.018	 11.813	 26.832	 26.663
	 0.558	 -0.179	 0.989	 15.466	 28.166	 25.756
	 0.578	 -0.217	 0.961	 19.973	 29.686	 24.343
	 0.584	 -0.260	 0.929	 24.959	 30.672	 23.516
	 0.577	 -0.301	 0.900	 29.546	 30.992	 23.036
	 0.564	 -0.342	 0.868	 32.959	 30.752	 20.956
	 0.547	 -0.381	 0.839	 35.253	 29.792	 17.303
	 0.526	 -0.420	 0.810	 36.079	 28.459	 13.863
	 0.510	 -0.460	 0.784	 36.293	 26.672	 11.223
	 0.489	 -0.502	 0.758	 36.079	 25.046	 9.383
	 0.472	 -0.542	 0.734	 36.079	 23.446	 6.796
	 0.450	 -0.576	 0.712	 35.413	 21.846	 5.436
	 0.411	 -0.606	 0.686	 33.999	 19.232	 3.143
	 0.367	 -0.634	 0.664	 31.733	 16.139	 1.196
	 0.331	 -0.660	 0.649	 28.986	 12.806	 -0.431
	 0.304	 -0.686	 0.645	 26.239	 9.472	 -1.337
	 0.278	 -0.701	 0.638	 23.519	 6.432	 -2.271
	 0.248	 -0.706	 0.630	 19.973	 4.006	 -1.951
	 0.234	 -0.710	 0.630	 15.413	 2.326	 -2.217
	 0.227	 -0.714	 0.628	 10.933	 1.312	 -3.284
	 0.230	 -0.720	 0.629	 7.413	 0.912	 -2.324
	 0.230	 -0.725	 0.627	 5.066	 0.432	 -1.231
	 0.233	 -0.728	 0.627	 3.973	 0.219	 -0.751
	 0.229	 -0.730	 0.627	 3.413	 0.352	 -1.097
	 0.228	 -0.729	 0.626	 3.146	 0.059	 -2.084
	 0.220	 -0.724	 0.628	 2.426	 -0.368	 -3.684
	 0.218	 -0.725	 0.626	 -0.241	 0.459	 -3.577
	 0.226	 -0.731	 0.627	 -1.734	 0.726	 -3.631
	 0.229	 -0.731	 0.631	 -3.121	 0.352	 -4.324
	 0.238	 -0.733	 0.635	 -5.174	 0.059	 -4.911
	 0.245	 -0.728	 0.632	 -7.041	 -0.048	 -5.844
	 0.252	 -0.725	 0.632	 -9.201	 0.406	 -5.177
	 0.263	 -0.725	 0.635	 -11.121	 0.939	 -5.417
	 0.274	 -0.724	 0.632	 -12.347	 1.259	 -4.671
	 0.287	 -0.722	 0.629	 -13.254	 1.792	 -2.937
	 0.299	 -0.722	 0.626	 -14.027	 2.086	 -1.524
	 0.314	 -0.719	 0.624	 -14.827	 1.846	 -0.004
	 0.331	 -0.715	 0.620	 -15.494	 1.739	 0.849
	 0.348	 -0.711	 0.616	 -15.921	 1.606	 1.409
	 0.367	 -0.707	 0.615	 -16.134	 1.659	 1.783
	 0.390	 -0.709	 0.608	 -16.001	 1.899	 3.409
	 0.406	 -0.706	 0.606	 -13.947	 0.832	 2.956
	 0.417	 -0.699	 0.605	 -12.961	 0.672	 3.623
	 0.434	 -0.697	 0.599	 -12.107	 0.832	 5.196
	 0.446	 -0.692	 0.594	 -10.801	 0.939	 6.476
	 0.461	 -0.687	 0.592	 -10.027	 0.832	 7.196
	 0.471	 -0.680	 0.587	 -10.107	 0.139	 6.503
	 0.475	 -0.675	 0.586	 -10.934	 -0.821	 4.903
1	 0.252	 0.103	 1.174	 -1.921	 15.659	 5.276
	 0.265	 0.084	 1.169	 -2.054	 15.926	 7.249
	 0.276	 0.066	 1.165	 -2.134	 16.246	 9.143
	 0.292	 0.046	 1.159	 -2.241	 17.446	 12.049
	 0.310	 0.029	 1.154	 -2.054	 18.459	 14.796
	 0.333	 0.010	 1.144	 -1.707	 19.472	 17.969
	 0.360	 -0.007	 1.132	 -1.334	 20.112	 21.383
	 0.386	 -0.025	 1.121	 -0.934	 20.752	 24.769
	 0.417	 -0.047	 1.104	 0.106	 21.526	 27.249
	 0.454	 -0.069	 1.089	 2.346	 22.299	 27.783
	 0.492	 -0.092	 1.071	 5.253	 23.419	 27.649
	 0.521	 -0.114	 1.048	 8.506	 25.099	 27.196
	 0.539	 -0.142	 1.018	 11.813	 26.832	 26.663
	 0.558	 -0.179	 0.989	 15.466	 28.166	 25.756
	 0.578	 -0.217	 0.961	 19.973	 29.686	 24.343
	 0.584	 -0.260	 0.929	 24.959	 30.672	 23.516
	 0.577	 -0.301	 0.900	 29.546	 30.992	 23.036
	 0.564	 -0.342	 0.868	 32.959	 30.752	 20.956
	 0.547	 -0.381	 0.839	 35.253	 29.792	 17.303
	 0.526	 -0.420	 0.810	 36.079	 28.459	 13.863
	 0.510	 -0.460	 0.784	 36.293	 26.672	 11.223
	 0.489	 -0.502	 0.758	 36.079	 25.046	 9.383
	 0.472	 -0.542	 0.734	 36.079	 23.446	 6.796
	 0.450	 -0.576	 0.712	 35.413	 21.846	 5.436
	 0.411	 -0.606	 0.686	 33.999	 19.232	 3.143
	 0.367	 -0.634	 0.664	 31.733	 16.139	 1.196
	 0.331	 -0.660	 0.649	 28.986	 12.806	 -0.431
	 0.304	 -0.686	 0.645	 26.239	 9.472	 -1.337
	 0.278	 -0.701	 0.638	 23.519	 6.432	 -2.271
	 0.248	 -0.706	 0.630	 19.973	 4.006	 -1.951
	 0.234	 -0.710	 0.630	 15.413	 2.326	 -2.217
	 0.227	 -0.714	 0.628	 10.933	 1.312	 -3.284
	 0.230	 -0.720	 0.629	 7.413	 0.912	 -2.324
	 0.230	 -0.725	 0.627	 5.066	 0.432	 -1.231
	 0.233	 -0.728	 0.627	 3.973	 0.219	 -0.751
	 0.229	 -0.730	 0.627	 3.413	 0.352	 -1.097
	 0.228	 -0.729	 0.626	 3.146	 0.059	 -2.084
	 0.220	 -0.724	 0.628	 2.426	 -0.368	 -3.684
	 0.218	 -0.725	 0.626	 -0.241	 0.459	 -3.577
	 0.226	 -0.731	 0.627	 -1.734	 0.726	 -3.631
	 0.229	 -0.731	 0.631	 -3.121	 0.352	 -4.324
	 0.238	 -0.733	 0.635	 -5.174	 0.059	 -4.911
	 0.245	 -0.728	 0.632	 -7.041	 -0.048	 -5.844
	 0.252	 -0.725	 0.632	 -9.201	 0.406	 -5.177
	 0.263	 -0.725	 0.635	 -11.121	 0.939	 -5.417
	 0.274	 -0.724	 0.632	 -12.347	 1.259	 -4.671
	 0.287	 -0.722	 0.629	 -13.254	 1.792	 -2.937
	 0.299	 -0.722	 0.626	 -14.027	 2.086	 -1.524
	 0.314	 -0.719	 0.624	 -14.827	 1.846	 -0.004
	 0.331	 -0.715	 0.620	 -15.494	 1.739	 0.849
	 0.348	 -0.711	 0.616	 -15.921	 1.606	 1.409
	 0.367	 -0.707	 0.615	 -16.134	 1.659	 1.783
	 0.390	 -0.709	 0.608	 -16.001	 1.899	 3.409
	 0.406	 -0.706	 0.606	 -13.947	 0.832	 2.956
	 0.417	 -0.699	 0.605	 -12.961	 0.672	 3.623
	 0.434	 -0.697	 0.599	 -12.107	 0.832	 5.196
	 0.446	 -0.692	 0.594	 -10.801	 0.939	 6.476
	 0.461	 -0.687	 0.592	 -10.027	 0.832	 7.196
	 0.471	 -0.680	 0.587	 -10.107	 0.139	 6.503
	 0.475	 -0.675	 0.586	 -10.934	 -0.821	 4.903
	 0.477	 -0.670	 0.589	 -12.241	 -1.514	 2.849
	 0.488	 -0.665	 0.592	 -14.667	 -3.914	 -0.324
	 0.498	 -0.657	 0.594	 -17.147	 -6.581	 -3.444
	 0.524	 -0.638	 0.607	 -18.481	 -9.701	 -7.577
	 0.541	 -0.614	 0.624	 -19.547	 -13.461	 -11.737
	 0.558	 -0.586	 0.648	 -20.081	 -16.714	 -14.217
	 0.571	 -0.557	 0.671	 -20.614	 -20.101	 -16.137
	 0.579	 -0.522	 0.700	 -20.561	 -22.421	 -16.937
	 0.587	 -0.486	 0.730	 -20.187	 -23.994	 -18.031
	 0.592	 -0.450	 0.759	 -19.707	 -25.168	 -18.431
	 0.597	 -0.413	 0.789	 -19.201	 -26.048	 -18.644
	 0.601	 -0.376	 0.816	 -18.534	 -26.928	 -18.591
	 0.606	 -0.339	 0.847	 -17.414	 -27.861	 -18.137
	 0.613	 -0.305	 0.879	 -15.414	 -28.608	 -18.004
	 0.623	 -0.265	 0.906	 -12.774	 -29.194	 -16.164
1	 0.584	 -0.260	 0.929	 24.959	 30.672	 23.516
	 0.577	 -0.301	 0.900	 29.546	 30.992	 23.036
	 0.564	 -0.342	 0.868	 32.959	 30.752	 20.956
	 0.547	 -0.381	 0.839	 35.253	 29.792	 17.303
	 0.526	 -0.420	 0.810	 36.079	 28.459	 13.863
	 0.510	 -0.460	 0.784	 36.293	 26.672	 11.223
	 0.489	 -0.502	 0.758	 36.079	 25.046	 9.383
	 0.472	 -0.542	 0.734	 36.079	 23.446	 6.796
	 0.450	 -0.576	 0.712	 35.413	 21.846	 5.436
	 0.411	 -0.606	 0.686	 33.999	 19.232	 3.143
	 0.367	 -0.634	 0.664	 31.733	 16.139	 1.196
	 0.331	 -0.660	 0.649	 28.986	 12.806	 -0.431
	 0.304	 -0.686	 0.645	 26.239	 9.472	 -1.337
	 0.278	 -0.701	 0.638	 23.519	 6.432	 -2.271
	 0.248	 -0.706	 0.630	 19.973	 4.006	 -1.951
	 0.234	 -0.710	 0.630	 15.413	 2.326	 -2.217
	 0.227	 -0.714	 0.628	 10.933	 1.312	 -3.284
	 0.230	 -0.720	 0.629	 7.413	 0.912	 -2.324
	 0.230	 -0.725	 0.627	 5.066	 0.432	 -1.231
	 0.233	 -0.728	 0.627	 3.973	 0.219	 -0.751
	 0.229	 -0.730	 0.627	 3.413	 0.352	 -1.097
	 0.228	 -0.729	 0.626	 3.146	 0.059	 -2.084
	 0.220	 -0.724	 0.628	 2.426	 -0.368	 -3.684
	 0.218	 -0.725	 0.626	 -0.241	 0.459	 -3.577
	 0.226	 -0.731	 0.627	 -1.734	 0.726	 -3.631
	 0.229	 -0.731	 0.631	 -3.121	 0.352	 -4.324
	 0.238	 -0.733	 0.635	 -5.174	 0.059	 -4.911
	 0.245	 -0.728	 0.632	 -7.041	 -0.048	 -5.844
	 0.252	 -0.725	 0.632	 -9.201	 0.406	 -5.177
	 0.263	 -0.725	 0.635	 -11.121	 0.939	 -5.417
	 0.274	 -0.724	 0.632	 -12.347	 1.259	 -4.671
	 0.287	 -0.722	 0.629	 -13.254	 1.792	 -2.937
	 0.299	 -0.722	 0.626	 -14.027	 2.086	 -1.524
	 0.314	 -0.719	 0.624	 -14.827	 1.846	 -0.004
	 0.331	 -0.715	 0.620	 -15.494	 1.739	 0.849
	 0.348	 -0.711	 0.616	 -15.921	 1.606	 1.409
	 0.367	 -0.707	 0.615	 -16.134	 1.659	 1.783
	 0.390	 -0.709	 0.608	 -16.001	 1.899	 3.409
	 0.406	 -0.706	 0.606	 -13.947	 0.832	 2.956
	 0.417	 -0.699	 0.605	 -12.961	 0.672	 3.623
	 0.434	 -0.697	 0.599	 -12.107	 0.832	 5.196
	 0.446	 -0.692	 0.594	 -10.801	 0.939	 6.476
	 0.461	 -0.687	 0.592	 -10.027	 0.832	 7.196
	 0.471	 -0.680	 0.587	 -10.107	 0.139	 6.503
	 0.475	 -0.675	 0.586	 -10.934	 -0.821	 4.903
	 0.477	 -0.670	 0.589	 -12.241	 -1.514	 2.849
	 0.488	 -0.665	 0.592	 -14.667	 -3.914	 -0.324
	 0.498	 -0.657	 0.594	 -17.147	 -6.581	 -3.444
	 0.524	 -0.638	 0.607	 -18.481	 -9.701	 -7.577
	 0.541	 -0.614	 0.624	 -19.547	 -13.461	 -11.737
	 0.558	 -0.586	 0.648	 -20.081	 -16.714	 -14.217
	 0.571	 -0.557	 0.671	 -20.614	 -20.101	 -16.137
	 0.579	 -0.522	 0.700	 -20.561	 -22.421	 -16.937
	 0.587	 -0.486	 0.730	 -20.187	 -23.994	 -18.031
	 0.592	 -0.450	 0.759	 -19.707	 -25.168	 -18.431
	 0.597	 -0.413	 0.789	 -19.201	 -26.048	 -18.644
	 0.601	 -0.376	 0.816	 -18.534	 -26.928	 -18.591
	 0.606	 -0.339	 0.847	 -17.414	 -27.861	 -18.137
	 0.613	 -0.305	 0.879	 -15.414	 -28.608	 -18.004
	 0.623	 -0.265	 0.906	 -12.774	 -29.194	 -16.164
	 0.632	 -0.223	 0.932	 -10.187	 -29.674	 -14.751
	 0.634	 -0.182	 0.958	 -6.694	 -28.288	 -12.964
	 0.633	 -0.146	 0.983	 -3.334	 -26.128	 -10.991
	 0.617	 -0.123	 0.999	 -1.121	 -23.141	 -7.337
	 0.609	 -0.102	 1.013	 0.693	 -20.101	 -3.817
	 0.601	 -0.087	 1.019	 1.813	 -17.408	 -1.471
	 0.593	 -0.070	 1.026	 2.853	 -14.501	 -0.271
	 0.592	 -0.057	 1.027	 3.146	 -12.634	 0.129
	 0.590	 -0.046	 1.029	 3.173	 -11.594	 0.876
	 0.595	 -0.037	 1.028	 3.066	 -10.074	 1.889
	 0.599	 -0.030	 1.028	 2.986	 -8.714	 2.609
	 0.601	 -0.024	 1.031	 2.826	 -7.301	 3.489
	 0.609	 -0.019	 1.028	 2.533	 -5.728	 5.089
	 0.616	 -0.016	 1.022	 2.186	 -4.448	 6.156
	 0.625	 -0.015	 1.018	 1.866	 -3.301	 7.009
1	 0.234	 -0.710	 0.630	 15.413	 2.326	 -2.217
	 0.227	 -0.714	 0.628	 10.933	 1.312	 -3.284
	 0.230	 -0.720	 0.629	 7.413	 0.912	 -2.324
	 0.230	 -0.725	 0.627	 5.066	 0.432	 -1.231
	 0.233	 -0.728	 0.627	 3.973	 0.219	 -0.751
	 0.229	 -0.730	 0.627	 3.413	 0.352	 -1.097
	 0.228	 -0.729	 0.626	 3.146	 0.059	 -2.084
	 0.220	 -0.724	 0.628	 2.426	 -0.368	 -3.684
	 0.218	 -0.725	 0.626	 -0.241	 0.459	 -3.577
	 0.226	 -0.731	 0.627	 -1.734	 0.726	 -3.631
	 0.229	 -0.731	 0.631	 -3.121	 0.352	 -4.324
	 0.238	 -0.733	 0.635	 -5.174	 0.059	 -4.911
	 0.245	 -0.728	 0.632	 -7.041	 -0.048	 -5.844
	 0.252	 -0.725	 0.632	 -9.201	 0.406	 -5.177
	 0.263	 -0.725	 0.635	 -11.121	 0.939	 -5.417
	 0.274	 -0.724	 0.632	 -12.347	 1.259	 -4.671
	 0.287	 -0.722	 0.629	 -13.254	 1.792	 -2.937
	 0.299	 -0.722	 0.626	 -14.027	 2.086	 -1.524
	 0.314	 -0.719	 0.624	 -14.827	 1.846	 -0.004
	 0.331	 -0.715	 0.620	 -15.494	 1.739	 0.849
	 0.348	 -0.711	 0.616	 -15.921	 1.606	 1.409
	 0.367	 -0.707	 0.615	 -16.134	 1.659	 1.783
	 0.390	 -0.709	 0.608	 -16.001	 1.899	 3.409
	 0.406	 -0.706	 0.606	 -13.947	 0.832	 2.956
	 0.417	 -0.699	 0.605	 -12.961	 0.672	 3.623
	 0.434	 -0.697	 0.599	 -12.107	 0.832	 5.196
	 0.446	 -0.692	 0.594	 -10.801	 0.939	 6.476
	 0.461	 -0.687	 0.592	 -10.027	 0.832	 7.196
	 0.471	 -0.680	 0.587	 -10.107	 0.139	 6.503
	 0.475	 -0.675	 0.586	 -10.934	 -0.821	 4.903
	 0.477	 -0.670	 0.589	 -12.241	 -1.514	 2.849
	 0.488	 -0.665	 0.592	 -14.667	 -3.914	 -0.324
	 0.498	 -0.657	 0.594	 -17.147	 -6.581	 -3.444
	 0.524	 -0.638	 0.607	 -18.481	 -9.701	 -7.577
	 0.541	 -0.614	 0.624	 -19.547	 -13.461	 -11.737
	 0.558	 -0.586	 0.648	 -20.081	 -16.714	 -14.217
	 0.571	 -0.557	 0.671	 -20.614	 -20.101	 -16.137
	 0.579	 -0.522	 0.700	 -20.561	 -22.421	 -16.937
	 0.587	 -0.486	 0.730	 -20.187	 -23.994	 -18.031
	 0.592	 -0.450	 0.759	 -19.707	 -25.168	 -18.431
	 0.597	 -0.413	 0.789	 -19.201	 -26.048	 -18.644
	 0.601	 -0.376	 0.816	 -18.534	 -26.928	 -18.591
	 0.606	 -0.339	 0.847	 -17.414	 -27.861	 -18.137
	 0.613	 -0.305	 0.879	 -15.414	 -28.608	 -18.004
	 0.623	 -0.265	 0.906	 -12.774	 -29.194	 -16.164
	 0.632	 -0.223	 0.932	 -10.187	 -29.674	 -14.751
